No.,location
1,52395
2,56804
3,46781
4,5517
5,5390
6,5712
7,6526
8,5570
9,4851
10,6053
11,11913
12,16054
13,16023
14,17020
15,17099
16,17026
17,17027
18,17018
19,6188
20,7344
21,5957
22,6571
23,8648
24,4525
25,5606
26,5727
27,4196
28,3220
29,4501
30,4187
31,5848
32,4783
33,6233
34,3720
35,5854
36,5279
37,17240
38,27902
39,16401
40,17529
41,17425
42,12293
43,19311
44,18611
45,23533
46,26330
47,24042
48,6072
49,4414
50,6004
51,9335
52,4798
53,2870
54,5919
55,21033
56,11183
57,16041
58,12269
59,38685
60,46707
61,57058
62,33167
63,31483
64,38754
65,7015
66,8018
67,7029
68,6538
69,8519
70,52645
71,52692
72,52716
73,77113
74,12677
75,13726
76,131098
77,110798
78,110350
79,68560
80,62992
81,68556
82,128563
83,143476
84,35817
85,35818
86,68069
87,51522
88,53929
89,114288
90,124974
91,114138
92,67994
93,52379
94,5510
95,5573
96,17026
97,5970
98,4190
99,3555
100,17240
101,17542
102,19317
103,4725
104,16041
105,56999
106,31483
107,8826
108,116265
109,52195
110,56790
111,46738
112,5525
113,5390
114,5711
115,6525
116,5570
117,4851
118,6053
119,11913
120,16055
121,16023
122,17021
123,17100
124,17027
125,17027
126,17019
127,6186
128,7347
129,5992
130,6568
131,8716
132,4527
133,5606
134,5750
135,4196
136,3220
137,4501
138,4189
139,5849
140,4760
141,6231
142,3556
143,5925
144,6641
145,17240
146,27901
147,16401
148,17523
149,17421
150,12293
151,19317
152,18632
153,23538
154,23433
155,24035
156,6072
157,5380
158,6036
159,9334
160,4803
161,2870
162,5919
163,21033
164,11182
165,16041
166,12268
167,55895
168,46707
169,60217
170,33160
171,31484
172,38750
173,7007
174,8008
175,7020
176,6548
177,8515
178,52646
179,52627
180,52714
181,72300
182,12677
183,13621
184,131071
185,110799
186,110331
187,168257
188,168258
189,158293
190,128588
191,143474
192,35817
193,35816
194,68051
195,51518
196,53929
197,114287
198,124974
199,114168
200,67994
201,17013
202,16477
203,31354
204,15069
205,29044
206,29113
207,26983
208,27975
209,27065
210,46111
211,45970
212,26389
213,126966
214,125844
215,106815
216,161230
217,150988
218,210835
219,64713
220,251042
221,163855
222,92442
223,131613
224,191337
225,114124
226,123171
227,29159
228,47834
229,27047
230,39158
231,47713
232,57631
233,24500
234,24599
235,75450
236,46371
237,90139
238,56362
239,776910
240,565417
241,838158
242,104694
243,134470
244,105082
245,270866
246,270885
247,121998
248,6798
249,8292
250,8582
